series_id,journal_canonical,title_normalized,length,flags
series:月刊登記情報#39ea21b6,月刊登記情報,各論,91,汎用ラベル
series:貿易と関税#c732a1b1,貿易と関税,中,34,部マーカー
series:季刊労働者の権利#8b23ad09,季刊労働者の権利,特集,19,汎用ラベル
series:季刊労働者の権利#b2b102f7,季刊労働者の権利,資料,18,汎用ラベル
series:労働経済判例速報#31d43ee1,労働経済判例速報,論説,15,汎用ラベル
series:登記研究#b15ecd68,登記研究,下の,14,極短title
series:月刊税務事例#82b53241,月刊税務事例,下,12,部マーカー
series:自由と正義#efd7d334,自由と正義,特集,12,汎用ラベル
series:ジュリスト#82028f2e,ジュリスト,特集,10,汎用ラベル
series:国際商事法務#f76d1f82,国際商事法務,中,10,部マーカー
series:判例セレクト’#b0515a39,判例セレクト’,民法,9,汎用ラベル
series:民事研修#04b9b73d,民事研修,雑記帳,9,汎用ラベル
series:ビジネスガイド#b6ed0c4d,ビジネスガイド,特集,8,汎用ラベル
series:中央労働時報#f69df364,中央労働時報,解説,8,汎用ラベル
series:判例セレクト’#085c129b,判例セレクト’,憲法,8,汎用ラベル
series:法の支配#f657d692,法の支配,令和,8,極短title
series:金融法務事情#3d482e21,金融法務事情,特集,8,汎用ラベル
series:ジュリスト#a9fe99fc,ジュリスト,資料,7,汎用ラベル
series:判例タイムズ#ef13fc6a,判例タイムズ,総論,7,極短title
series:法学教室#b6dbffb4,法学教室,各論,7,汎用ラベル
series:NBL#55e43837,NBL,中の,6,極短title
series:月刊民事法情報#59a794f8,月刊民事法情報,下,6,部マーカー
series:NBL#cdd386ae,NBL,中,5,部マーカー
series:旬刊商事法務#2ae0ddc3,旬刊商事法務,中,5,部マーカー
series:月刊税務事例#e17552b9,月刊税務事例,措法,5,極短title
series:演習民事訴訟法(法学教室選書)』所収p#3b188efa,演習民事訴訟法(法学教室選書)』所収p,1,5,極短title
series:警察学論集#8d80fc7b,警察学論集,下,5,部マーカー
series:市政#e4e7da0f,市政,寄稿,4,極短title
series:成蹊法学#7d7ba7c4,成蹊法学,中,4,部マーカー
series:手形研究#44a5147e,手形研究,中,4,部マーカー
series:時の法令#6600f914,時の法令,特集,4,汎用ラベル
series:法律時報#e980f3bb,法律時報,中,4,部マーカー
series:法曹#3ed8754c,法曹,討論,4,極短title
series:大阪弁護士会#522d9b60,大阪弁護士会,特集,3,汎用ラベル
series:季刊事業再生と債権管理#bbd5c8bc,季刊事業再生と債権管理,各論,3,汎用ラベル
series:戸籍時報#eb0378d2,戸籍時報,下の,3,極短title
series:月刊登記情報#d6bd86d0,月刊登記情報,資料,3,汎用ラベル
series:法律時報#0895b30a,法律時報,下,3,部マーカー
series:ジュリスト#dc8601cd,ジュリスト,報告,2,極短title
series:佐賀大学経済論集#53392d6f,佐賀大学経済論集,8の,2,極短title
series:佐賀大学経済論集#9a0dc4c9,佐賀大学経済論集,9の,2,極短title
series:公正取引#0d8377d7,公正取引,特集,2,汎用ラベル
series:別冊ジュリスト184#a9fa1874,別冊ジュリスト184,コラム,2,汎用ラベル
series:別冊ジュリスト216#9dae38c5,別冊ジュリスト216,コラム,2,汎用ラベル
series:労働経済判例速報#339f13d3,労働経済判例速報,報告,2,極短title
series:労働経済旬報#94454398,労働経済旬報,下の,2,極短title
series:労働運動#4e0aac37,労働運動,中,2,部マーカー
series:国際商事法務#df27cd0c,国際商事法務,下,2,部マーカー
series:成蹊法学#f6a488e1,成蹊法学,下,2,部マーカー
series:戸籍時報#7ccb71c6,戸籍時報,資料,2,汎用ラベル
series:戸籍時報#fbb23e54,戸籍時報,続,2,部マーカー
series:日本労働研究雑誌#01aeb7ba,日本労働研究雑誌,特集,2,汎用ラベル
series:旬刊商事法務#41331027,旬刊商事法務,下,2,部マーカー
series:月刊登記先例解説集#e8ddcc3a,月刊登記先例解説集,下,2,部マーカー
series:東海法学#6ba8a48b,東海法学,中,2,部マーカー
series:横浜国際経済法学#825ed639,横浜国際経済法学,3の,2,極短title
series:民商法雑誌#38405e5b,民商法雑誌,その,2,極短title
series:法令ニュース#d2fd15a9,法令ニュース,下,2,部マーカー
series:法学セミナー#3b1d37e8,法学セミナー,立志,2,極短title
series:法曹#0df7d994,法曹,報告,2,極短title
series:法曹#8541a746,法曹,その,2,極短title
series:立命館法学#4c5aea19,立命館法学,平成,2,極短title
series:立正法学論集#0121c13b,立正法学論集,平成,2,極短title
series:警察学論集#ca9e2ec6,警察学論集,説苑,2,極短title
series:賃金と社会保障#c7d3c551,賃金と社会保障,特集,2,汎用ラベル
series:近畿大学法学#39caa2ea,近畿大学法学,後篇,2,極短title
series:金融法務事情#57eec9f4,金融法務事情,資料,2,汎用ラベル
series:金融法務事情#a68d92c9,金融法務事情,中の,2,極短title
series:阪大法学#2d55598d,阪大法学,中の,2,極短title
